Matrix dimension = 1150

Threads: 1	 Average time: 253.8 milliseconds
Threads: 2	 Average time: 133.8 milliseconds
Threads: 3	 Average time: 92.5 milliseconds
Threads: 4	 Average time: 91.7 milliseconds
Threads: 5	 Average time: 74.6 milliseconds
Threads: 6	 Average time: 74.5 milliseconds
Threads: 7	 Average time: 71.7 milliseconds
Threads: 8	 Average time: 69.7 milliseconds
Threads: 9	 Average time: 71.3 milliseconds
Threads: 10	 Average time: 61.2 milliseconds
Threads: 11	 Average time: 57.5 milliseconds
Threads: 12	 Average time: 53.0 milliseconds
Threads: 13	 Average time: 51.3 milliseconds
Threads: 14	 Average time: 49.2 milliseconds
Threads: 15	 Average time: 48.9 milliseconds
Threads: 16	 Average time: 47.1 milliseconds
Threads: 17	 Average time: 49.8 milliseconds
Threads: 18	 Average time: 49.6 milliseconds
Threads: 19	 Average time: 46.9 milliseconds
Threads: 20	 Average time: 47.9 milliseconds
Threads: 21	 Average time: 47.8 milliseconds
Threads: 22	 Average time: 48.3 milliseconds
Threads: 23	 Average time: 48.9 milliseconds
Threads: 24	 Average time: 49.6 milliseconds
Threads: 25	 Average time: 51.9 milliseconds
Threads: 26	 Average time: 51.9 milliseconds
Threads: 27	 Average time: 52.0 milliseconds
Threads: 28	 Average time: 52.4 milliseconds
Threads: 29	 Average time: 54.3 milliseconds
Threads: 30	 Average time: 53.6 milliseconds
Threads: 31	 Average time: 56.8 milliseconds
Threads: 32	 Average time: 55.7 milliseconds
Threads: 33	 Average time: 56.4 milliseconds
Threads: 34	 Average time: 57.5 milliseconds
Threads: 35	 Average time: 66.6 milliseconds
Threads: 36	 Average time: 59.7 milliseconds
Threads: 37	 Average time: 63.4 milliseconds
Threads: 38	 Average time: 64.1 milliseconds
Threads: 39	 Average time: 62.1 milliseconds
Threads: 40	 Average time: 61.3 milliseconds
Threads: 41	 Average time: 72.7 milliseconds
Threads: 42	 Average time: 65.3 milliseconds
Threads: 43	 Average time: 65.6 milliseconds
Threads: 44	 Average time: 69.6 milliseconds
Threads: 45	 Average time: 66.0 milliseconds
Threads: 46	 Average time: 69.8 milliseconds
Threads: 47	 Average time: 71.3 milliseconds
Threads: 48	 Average time: 74.6 milliseconds
Threads: 49	 Average time: 70.0 milliseconds
Threads: 50	 Average time: 79.3 milliseconds

